hndd,cndd,rank,mean_abundance
3,6,12,339.925
3,6,13,328.652
3,6,14,318.901
3,6,15,308.868
3,6,16,299.278
3,6,17,290.332
3,6,18,281.246
3,6,19,273.222
3,6,20,265.005
3,6,21,257.421
3,6,22,250.027
3,6,23,242.518
3,6,24,235.86
3,6,25,229.114
3,6,26,222.798
3,6,27,216.951
3,6,28,211.338
3,6,29,205.866
3,6,30,200.354
3,6,31,194.892
3,6,32,189.472
3,6,33,184.22
3,6,34,179.113
3,6,35,173.845
3,6,36,169.116
3,6,37,164.317
3,6,38,159.726
3,6,39,155.293
3,6,40,151.134
3,6,41,146.879
3,6,42,142.875
3,6,43,138.912
3,6,44,135.039
3,6,45,131.044
3,6,46,127.394
3,6,47,123.603
3,6,48,119.846
3,6,49,116.219
3,6,50,112.692
3,6,51,109.202
3,6,52,105.864
3,6,53,102.505
3,6,54,99.275
3,6,55,96.051
3,6,56,93.08
3,6,57,90.125
3,6,58,87.126
3,6,59,84.303
3,6,60,81.35
3,6,61,78.54
3,6,62,75.843
3,6,63,73.285
3,6,64,70.717
3,6,65,68.294
3,6,66,65.93
3,6,67,63.547
3,6,68,61.198
3,6,69,58.798
3,6,70,56.571
3,6,71,54.494
3,6,72,52.265
3,6,73,50.254
3,6,74,48.218
3,6,75,46.189
3,6,76,44.288
3,6,77,42.42
3,6,78,40.567
3,6,79,38.766
3,6,80,37.028
3,6,81,35.35
3,6,82,33.712
3,6,83,32.131
3,6,84,30.555
3,6,85,29.015
3,6,86,27.574
3,6,87,26.165
3,6,88,24.804
3,6,89,23.502
3,6,90,22.32
3,6,91,21.123
3,6,92,19.988
3,6,93,18.906
3,6,94,17.856
3,6,95,16.849
3,6,96,15.884
3,6,97,14.912
3,6,98,14.046
3,6,99,13.229
3,6,100,12.413
3,6,101,11.619
3,6,102,10.902
3,6,103,10.195
3,6,104,9.512
3,6,105,8.908
3,6,106,8.308
3,6,107,7.733
3,6,108,7.17317317317317
3,6,109,6.64764764764765
3,6,110,6.16616616616617
3,6,111,5.70470470470471
3,6,112,5.25401606425703
3,6,113,4.85814889336016
3,6,114,4.49496981891348
3,6,115,4.16431451612903
3,6,116,3.82204246713852
3,6,117,3.51065989847716
3,6,118,3.23439099283521
3,6,119,2.97631307929969
3,6,120,2.74608150470219
3,6,121,2.53510638297872
3,6,122,2.34164859002169
3,6,123,2.17908787541713
3,6,124,2.04816513761468
3,6,125,1.9200477326969
3,6,126,1.82997481108312
3,6,127,1.7023498694517
3,6,128,1.61212976022567
3,6,129,1.55193798449612
3,6,130,1.4857621440536
3,6,131,1.44237918215613
3,6,132,1.40973630831643
3,6,133,1.36971046770601
3,6,134,1.31670822942643
3,6,135,1.29190751445087
3,6,136,1.25850340136054
3,6,137,1.22900763358779
3,6,138,1.21363636363636
3,6,139,1.18421052631579
3,6,140,1.18709677419355
3,6,141,1.15322580645161
3,6,142,1.15151515151515
3,6,143,1.1625
3,6,144,1.16176470588235
3,6,145,1.14814814814815
3,6,146,1.11627906976744
3,6,147,1.08571428571429
3,6,148,1.08333333333333
3,6,149,1.04761904761905
3,6,150,1.0625
3,6,151,1
3,6,152,1
3,6,153,1
3,6,154,1
3,6,155,1
3,6,156,1
3,6,157,1
3,6,158,1
3,6,159,1
3,9,1,521.67
3,9,2,461.385
3,9,3,427.694
3,9,4,402.999
3,9,5,384.086
3,9,6,368.124
3,9,7,353.613
3,9,8,340.402
3,9,9,329.127
3,9,10,318.791
3,9,11,309.719
3,9,12,300.268
3,9,13,292.078
3,9,14,283.792
3,9,15,276.577
3,9,16,269.66
3,9,17,262.55
3,9,18,256.063
3,9,19,249.788
3,9,20,244.048
3,9,21,238.451
3,9,22,233.203
3,9,23,227.837
3,9,24,222.81
3,9,25,217.749
3,9,26,213.057
3,9,27,208.136
3,9,28,203.844
3,9,29,199.098
3,9,30,194.643
3,9,31,190.428
3,9,32,186.291
3,9,33,182.176
3,9,34,178.155
3,9,35,174.397
3,9,36,170.648
3,9,37,166.857
3,9,38,163.16
3,9,39,159.776
3,9,40,156.004
3,9,41,152.507
3,9,42,149.109
3,9,43,145.736
3,9,44,142.478
3,9,45,139.321
3,9,46,136.181
3,9,47,133.155
3,9,48,130.255
3,9,49,127.354
3,9,50,124.403
3,9,51,121.405
3,9,52,118.645
3,9,53,115.908
3,9,54,113.115
3,9,55,110.591
3,9,56,107.912
3,9,57,105.342
3,9,58,102.751
3,9,59,100.209
3,9,60,97.792
3,9,61,95.222
3,9,62,92.856
3,9,63,90.557
3,9,64,88.171
3,9,65,85.778
3,9,66,83.522
3,9,67,81.233
3,9,68,78.973
3,9,69,76.707
3,9,70,74.449
3,9,71,72.323
3,9,72,70.17
3,9,73,68.083
3,9,74,66.033
3,9,75,64.075
3,9,76,62.103
3,9,77,60.183
3,9,78,58.26
3,9,79,56.368
3,9,80,54.433
3,9,81,52.594
3,9,82,50.632
3,9,83,48.807
3,9,84,47.141
3,9,85,45.552
3,9,86,43.862
3,9,87,42.27
3,9,88,40.629
3,9,89,39.068
3,9,90,37.526
3,9,91,36.036
3,9,92,34.647
3,9,93,33.272
3,9,94,31.873
3,9,95,30.528
3,9,96,29.203
3,9,97,27.96
